ticker,company,sector,sub_industry,cik,legal_name,gics_sector,gics_sub_industry,hq_state,market_cap_usd,shares_outstanding,scope1_tco2e,scope1_tco2e_fy,ghg_facility_count,ghg_facility_count_fy,cogs_usd,cogs_usd_fy,energy_cost_usd,energy_cost_usd_fy,revenue_usd,revenue_usd_fy,ebit_usd,ebit_usd_fy,ebitda_usd,ebitda_usd_fy,free_cash_flow_usd,free_cash_flow_usd_fy,capex_usd,capex_usd_fy,rnd_expense_usd,rnd_expense_usd_fy,sbti_target_validated,sbti_target_type,target_year,target_baseline_year,target_reduction_pct,target_scope_coverage,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,buybacks_usd_fy,dividends_paid_usd,dividends_paid_usd_fy
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,0001090872,Agilent Technologies,Health Care,Life Sciences Tools & Services,California,41429237760.0,292123241.0,,,,,3368000000.0,2023,,,6833000000.0,2023,1350000000.0,2023,1621000000.0,2023,1474000000.0,2023,298000000.0,2023,481000000.0,2023,1.0,net-zero,2030.0,2019.0,50.0,1 and 2,,,,,1.0,1.0,3.0,10.0,11.0,1.0,575000000.0,2023,265000000.0,2023
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",0000320193,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",California,4849207869440.0,15550061000.0,,,,,214137000000.0,2023,,,383285000000.0,2023,114301000000.0,2023,125820000000.0,2023,99584000000.0,2023,10959000000.0,2023,29915000000.0,2023,0.0,near-term,,,,,,,,,1.0,0.0,3.0,,,0.0,77550000000.0,2023,15025000000.0,2023
ABBV,AbbVie,Health Care,Biotechnology,0001551152,AbbVie,Health Care,Biotechnology,Illinois,454361186304.0,1773000000.0,99777.8,2023,2.0,2023,20415000000.0,2023,,,54318000000.0,2023,12757000000.0,2023,,,22062000000.0,2023,777000000.0,2023,,,0.0,near-term,2030.0,2021.0,42.0,1 and 2,,,,,1.0,1.0,3.0,,,1.0,1972000000.0,2023,10539000000.0,2023
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001559720,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",California,101907333120.0,662000000.0,,,,,1703000000.0,2023,,,9917000000.0,2023,1518000000.0,2023,,,,,,,1722000000.0,2023,0.0,near-term,2030.0,2019.0,78.4,1 and 2,,,,,1.0,0.0,,,,1.0,2252000000.0,2023,,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,0000001800,Abbott Laboratories,Health Care,Health Care Equipment,Illinois,176412573696.0,1749000000.0,134386.9,2023,4.0,2023,17975000000.0,2023,,,40109000000.0,2023,6478000000.0,2023,,,5059000000.0,2023,2202000000.0,2023,2741000000.0,2023,0.0,,,,,,,,,,1.0,1.0,,11.0,12.0,1.0,1227000000.0,2023,3556000000.0,2023
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,0000947484,Arch Capital Group,Financials,Property & Casualty Insurance,Bermuda,32788705280.0,373400000.0,,,,,,,,,13634000000.0,2023,3570000000.0,2023,,,5697000000.0,2023,52000000.0,2023,,,0.0,,,,,,,,,,1.0,1.0,3.0,,,0.0,0.0,2023,,
ACN,Accenture,Information Technology,IT Consulting & Other Services,0001467373,Accenture,Information Technology,IT Consulting & Other Services,Ireland,112536141824.0,638591616.0,,,,,43380138000.0,2023,,,64111745000.0,2023,8809889000.0,2023,10221962000.0,2023,8996096000.0,2023,528172000.0,2023,1298657000.0,2023,0.0,near-term,,,,,,,,,1.0,0.0,3.0,,,1.0,4330403000.0,2023,,
ADBE,Adobe Inc.,Information Technology,Application Software,0000796343,Adobe Inc.,Information Technology,Application Software,California,100261421056.0,455000000.0,,,,,2354000000.0,2023,,,19409000000.0,2023,6650000000.0,2023,7522000000.0,2023,6942000000.0,2023,360000000.0,2023,,,1.0,net-zero,2030.0,2022.0,42.0,1 and 2,,,,,1.0,1.0,3.0,10.0,11.0,1.0,4400000000.0,2023,,
ADI,Analog Devices,Information Technology,Semiconductors,0000006281,Analog Devices,Information Technology,Semiconductors,Massachusetts,183543709696.0,496261678.0,117771.6,2023,3.0,2023,4428321000.0,2023,,,12305539000.0,2023,3823112000.0,2023,,,3556171000.0,2023,1261463000.0,2023,1660194000.0,2023,0.0,near-term,2030.0,2019.0,50.0,1 and 2,,,,,1.0,1.0,3.0,,,1.0,2963955000.0,2023,1679106000.0,2023
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,0000007084,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,Illinois,41795534848.0,542000000.0,10585367.6,2023,18.0,2023,86422000000.0,2023,,,93935000000.0,2023,4294000000.0,2023,5353000000.0,2023,2966000000.0,2023,1494000000.0,2023,256000000.0,2023,0.0,commitment,,,,,,,,,1.0,1.0,3.0,12.0,13.0,1.0,2673000000.0,2023,977000000.0,2023
