ticker,company,sector,sub_industry,cogs_usd,energy_cost_usd
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,3305000000.0,
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",220960000000.0,
ABBV,AbbVie,Health Care,Biotechnology,18204000000.0,
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2086000000.0,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,19319000000.0,
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,,
ACN,Accenture,Information Technology,IT Consulting & Other Services,47437576000.0,
ADBE,Adobe Inc.,Information Technology,Application Software,2551000000.0,
ADI,Analog Devices,Information Technology,Semiconductors,4246229000.0,
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,75236000000.0,
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,11097300000.0,
ADSK,Autodesk,Information Technology,Application Software,650000000.0,
AEE,Ameren,Utilities,Multi-Utilities,,
AEP,American Electric Power,Utilities,Electric Utilities,,
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,10022000000.0,
AFL,Aflac,Financials,Life & Health Insurance,,
AIG,American International Group,Financials,Multi-line Insurance,,
AIZ,Assurant,Financials,Multi-line Insurance,,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,,
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1727513000.0,
ALB,Albemarle Corporation,Materials,Specialty Chemicals,4474014000.0,
ALGN,Align Technology,Health Care,Health Care Supplies,1323951000.0,
ALL,Allstate,Financials,Property & Casualty Insurance,,
ALLE,Allegion,Industrials,Building Products,2229000000.0,
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,14560000000.0,
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,12175000000.0,
AMD,Advanced Micro Devices,Information Technology,Semiconductors,17487000000.0,
AME,Ametek,Industrials,Electrical Components & Equipment,4733677000.0,
AMGN,Amgen,Health Care,Biotechnology,12037000000.0,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,,
AMT,American Tower,Real Estate,Telecom Tower REITs,,
AMZN,Amazon,Consumer Discretionary,Broadline Retail,356414000000.0,
ANET,Arista Networks,Information Technology,Communications Equipment,3237000000.0,
AON,Aon plc,Financials,Insurance Brokers,,
AOS,A. O. Smith,Industrials,Building Products,2342800000.0,
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,,
APD,Air Products,Materials,Industrial Gases,8256000000.0,
APH,Amphenol,Information Technology,Electronic Components,14577000000.0,
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,,
APP,AppLovin,Communication Services,Advertising,665140000.0,
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,16500000000.0,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,,
ARES,Ares Management,Financials,Asset Management & Custody Banks,,
ATO,Atmos Energy,Utilities,Gas Utilities,,
AVGO,Broadcom,Information Technology,Semiconductors,20593000000.0,
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,6309200000.0,
AWK,American Water Works,Utilities,Water Utilities,,
AXON,Axon Enterprise,Industrials,Aerospace & Defense,1121411000.0,
AXP,American Express,Financials,Consumer Finance,,
AZO,AutoZone,Consumer Discretionary,Automotive Retail,8972243000.0,
BA,Boeing,Industrials,Aerospace & Defense,85174000000.0,
BAC,Bank of America,Financials,Diversified Banks,,
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",,
BAX,Baxter International,Health Care,Health Care Equipment,7865000000.0,
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,32318000000.0,
BDX,Becton Dickinson,Health Care,Health Care Equipment,11915000000.0,
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,,
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1550000000.0,
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,66920000000.0,
BIIB,Biogen,Health Care,Biotechnology,2404200000.0,
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,,
BLDR,Builders FirstSource,Industrials,Building Products,10574861000.0,
BLK,BlackRock,Financials,Asset Management & Custody Banks,,
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,13936000000.0,
BNY,BNY Mellon,Financials,Asset Management & Custody Banks,,
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,4752300000.0,
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,,
BRO,Brown & Brown,Financials,Insurance Brokers,,
BSX,Boston Scientific,Health Care,Health Care Equipment,6221000000.0,
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,,
BXP,"BXP, Inc.",Real Estate,Office REITs,,
C,Citigroup,Financials,Diversified Banks,,
CAH,Cardinal Health,Health Care,Health Care Distributors,214410000000.0,
CARR,Carrier Global,Industrials,Building Products,,
CASY,Casey's,Consumer Staples,Food Retail,,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,49000000.0,
CB,Chubb Limited,Financials,Property & Casualty Insurance,,
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2285100000.0,
CBRE,CBRE Group,Real Estate,Real Estate Services,32984000000.0,
CCI,Crown Castle,Real Estate,Telecom Tower REITs,113000000.0,
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,
CDNS,Cadence Design Systems,Information Technology,Application Software,,
CDW,CDW Corporation,Information Technology,Technology Distributors,17550700000.0,
CEG,Constellation Energy,Utilities,Electric Utilities,,
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,4360000000.0,
CFG,Citizens Financial Group,Financials,Regional Banks,,
CHD,Church & Dwight,Consumer Staples,Household Products,3428400000.0,
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,,
CHTR,Charter Communications,Communication Services,Cable & Satellite,,
CI,Cigna,Health Care,Health Care Services,214991000000.0,
CIEN,Ciena,Information Technology,Communications Equipment,2764590000.0,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,,
CL,Colgate-Palmolive,Consumer Staples,Household Products,8131000000.0,
CLX,Clorox,Consumer Staples,Household Products,3891000000.0,
CMCSA,Comcast,Communication Services,Cable & Satellite,,
CME,CME Group,Financials,Financial Exchanges & Data,,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,,
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,25154000000.0,
CMS,CMS Energy,Utilities,Multi-Utilities,,657000000.0
CNC,Centene Corporation,Health Care,Managed Health Care,2670000000.0,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,4000000.0,
COF,Capital One,Financials,Consumer Finance,,
COHR,Coherent Corp.,Information Technology,Electronic Components,3766793000.0,
COIN,Coinbase,Financials,Financial Exchanges & Data,,
COO,Cooper Companies (The),Health Care,Health Care Supplies,1410300000.0,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,22325000000.0,
COR,Cencora,Health Care,Health Care Distributors,309854280000.0,
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,239886000000.0,
CPAY,Corpay,Financials,Transaction & Payment Processing Services,,
CPRT,Copart,Industrials,Diversified Support Services,,
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,566710000.0,
CRH,CRH plc,Materials,Construction Materials,23919000000.0,
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,,
CRM,Salesforce,Information Technology,Application Software,9270000000.0,
CRWD,CrowdStrike,Information Technology,Systems Software,1218929000.0,
CSCO,Cisco,Information Technology,Communications Equipment,19864000000.0,
CSGP,CoStar Group,Real Estate,Real Estate Services,686000000.0,
CSX,CSX Corporation,Industrials,Rail Transportation,,1095000000.0
CTAS,Cintas,Industrials,Diversified Support Services,5556968000.0,
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,,
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,9172000000.0,
CVNA,Carvana,Consumer Discretionary,Automotive Retail,16130000000.0,
CVS,CVS Health,Health Care,Health Care Services,221167000000.0,
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,108214000000.0,
D,Dominion Energy,Utilities,Multi-Utilities,,
DAL,Delta Air Lines,Industrials,Passenger Airlines,,9819000000.0
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,,
DD,DuPont,Industrials,Industrial Conglomerates,4486000000.0,
DDOG,Datadog,Information Technology,Application Software,686957000.0,
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,,
DECK,Deckers Brands,Consumer Discretionary,Footwear,2314570000.0,
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",90831000000.0,
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,29624680000.0,
DGX,Quest Diagnostics,Health Care,Health Care Services,7370000000.0,
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,26134200000.0,
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,10045000000.0,
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,,
DLR,Digital Realty,Real Estate,Data Center REITs,,
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,12345000000.0,
DOC,Healthpeak Properties,Real Estate,Health Care REITs,,
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,4874402000.0,
DOW,Dow Inc.,Materials,Commodity Chemicals,37435000000.0,
DPZ,Domino's,Consumer Discretionary,Restaurants,2966434000.0,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,,
DTE,DTE Energy,Utilities,Multi-Utilities,,
DUK,Duke Energy,Utilities,Electric Utilities,,
DVA,DaVita,Health Care,Health Care Services,,
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,,
DXCM,Dexcom,Health Care,Health Care Equipment,1860100000.0,
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,3169000000.0,
ECHO,EchoStar,Communication Services,Wireless Telecommunication Services,,
ECL,Ecolab,Materials,Specialty Chemicals,8930800000.0,
ED,Consolidated Edison,Utilities,Multi-Utilities,,
EFX,Equifax,Industrials,Research & Consulting Services,,
EG,Everest Group,Financials,Reinsurance,,
EIX,Edison International,Utilities,Electric Utilities,,
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,3729000000.0,
ELV,Elevance Health,Health Care,Managed Health Care,21178000000.0,
EME,Emcor,Industrials,Construction & Engineering,13703434000.0,
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,8497000000.0,
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,,
EQIX,Equinix,Real Estate,Data Center REITs,4508000000.0,
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,1532090000.0,
ERIE,Erie Indemnity,Financials,Insurance Brokers,,
ES,Eversource Energy,Utilities,Electric Utilities,,
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,17131000000.0,
ETR,Entergy,Utilities,Electric Utilities,,
EVRG,Evergy,Utilities,Electric Utilities,,
EW,Edwards Lifesciences,Health Care,Health Care Equipment,1334200000.0,
EXC,Exelon,Utilities,Electric Utilities,,
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,,
EXPD,Expeditors International,Industrials,Air Freight & Logistics,,
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",,
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,918148000.0,
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,174466000000.0,
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,,
FAST,Fastenal,Industrials,Trading Companies & Distributors,4509300000.0,
FCX,Freeport-McMoRan,Materials,Copper,18618000000.0,
FDS,FactSet,Financials,Financial Exchanges & Data,1097782000.0,
FDX,FedEx,Industrials,Air Freight & Logistics,,4052000000.0
FDXF,FedEx Freight,Industrials,Cargo Ground Transportation,,486000000.0
FE,FirstEnergy,Utilities,Electric Utilities,,652000000.0
FERG,Ferguson Enterprises,Industrials,Trading Companies & Distributors,21327000000.0,
FFIV,"F5, Inc.",Information Technology,Communications Equipment,573978000.0,
FICO,Fair Isaac,Information Technology,Application Software,353722000.0,
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,6741000000.0,
FISV,Fiserv,Financials,Transaction & Payment Processing Services,,
FITB,Fifth Third Bancorp,Financials,Regional Banks,,
FIX,Comfort Systems USA,Industrials,Construction & Engineering,6905742000.0,
